general,item_item,popularity,recommended,test,user,user_user,associations,content
"[175, 439]",[723],[171],"[151, 175, 723, 97, 1025, 131, 106, 172, 439, 171]",[3171],96260f34-2fb3-567d-b3cc-eabb230b449d,"[151, 97, 1025, 131, 106, 172]",,
[2774],"[75, 91]","[97, 2992]","[167, 172, 2774, 173, 75, 192, 97, 98, 91, 2992]",[91],89eea5f4-07ff-5a11-b546-5e66a1bfd3d3,,[173],"[167, 172, 192, 98]"
"[3486, 3483, 3484, 278, 2315, 87]",,[3481],"[91, 3486, 3470, 3483, 3484, 890, 278, 3481, 2315, 87]",[114 847],da164c8d-5d09-5fe9-aa78-4d2ef06f6d99,"[91, 3470]",,[890]
[1310],"[159, 114]",[847],"[91, 92, 75, 847, 671, 159, 3171, 439, 114, 1310]",[2315],7b0cc2c1-2579-55a4-a420-ebbf6c766898,,,"[91, 92, 75, 671, 3171, 439]"
[1310],"[90, 1400]","[175, 115]","[97, 90, 153, 175, 734, 1310, 115, 75, 1400, 151]",[172],ad5eeaca-6c68-53f9-9b9b-41985012d6a3,,,"[97, 153, 734, 75, 151]"
,"[1971, 153, 230, 2969]","[173, 175]","[75, 1025, 151, 1971, 153, 173, 175, 171, 230, 2969]",[106],8cc03d5f-8d88-5b0f-9c1a-4fc1c84bc7dd,,,"[75, 1025, 151, 171]"
[2978],"[1306, 217, 3171]",[131],"[1306, 97, 85, 2978, 171, 217, 106, 87, 131, 3171]",[3485],3ca84bb2-6a3c-5e05-9769-bf8e86e9b92e,,,"[97, 85, 171, 106, 87]"
"[84, 1310]",,[94],"[97, 75, 94, 84, 106, 92, 1310, 171, 87, 172]",[91],3facbb04-5311-5592-9080-50837631062f,,,"[97, 75, 106, 92, 171, 87, 172]"
[1310],,"[175, 106]","[92, 175, 75, 439, 1025, 2774, 106, 115, 1310, 97]",[847],4bbf0a03-0232-54b3-90dc-f9a511a0ac36,[2774],,"[92, 75, 439, 1025, 115, 97]"
"[217, 2315, 84, 95]",[150],[94],"[97, 217, 75, 150, 87, 115, 94, 2315, 84, 95]",[153],39e4a1f4-a80e-5242-ac11-2163c26d28ec,,,"[97, 75, 87, 115]"
[890],,[2992],"[3481, 3485, 167, 3486, 3470, 3824, 2992, 3505, 3484, 890]",[97],ad3f4267-1da9-582e-a943-82123b476cb1,,,"[3481, 3485, 167, 3486, 3470, 3824, 3505, 3484]"
,"[115, 3171, 91]","[131, 151, 85]","[92, 167, 131, 115, 98, 3171, 91, 151, 85, 192]",[167],5b125908-1bc7-5004-9881-070bfbd05bbb,,,"[92, 167, 98, 192]"
"[1435, 84]","[1655, 523]",[94],"[151, 1435, 1655, 94, 84, 523, 91, 115, 278, 97]",[97],6ab80879-f863-567d-a757-f0916ddf16e3,,,"[151, 91, 115, 278, 97]"
,"[75, 97]","[131, 2992, 151, 172]","[167, 98, 131, 173, 2992, 75, 2438, 97, 151, 172]",[115],7df10706-4bc6-5409-a8d7-8321d524d2b2,,[173],"[167, 98, 2438]"
